,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
G,7,308,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,7,309,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,7,310,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,7,311,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,7,312,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,7,313,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,7,314,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,7,315,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,7,316,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,7,317,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,7,318,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,7,319,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,7,320,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,7,321,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,7,322,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,7,323,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,7,324,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,7,325,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,7,326,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,7,327,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,7,328,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,7,329,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,7,330,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,7,331,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,7,332,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,7,333,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,7,334,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,7,335,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,7,336,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,7,337,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,8,338,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,8,339,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,8,340,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,8,341,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,8,342,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,8,343,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,8,344,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,8,345,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,8,346,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,8,347,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,8,348,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,8,349,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,8,350,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,8,351,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,8,352,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,8,353,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,8,354,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,8,355,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,8,356,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,8,357,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,8,358,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,8,359,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,8,360,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,8,361,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,8,362,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,8,363,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,8,364,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,8,365,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,8,366,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,8,367,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,8,368,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,8,369,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,8,370,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,8,371,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,8,372,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,8,373,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,8,374,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,8,375,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,8,376,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,8,377,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,8,378,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,8,379,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,8,380,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,8,381,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,8,382,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,8,383,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,8,384,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,8,385,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,9,386,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,9,387,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,9,388,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,9,389,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,9,390,T,87,60,105,1,15,5,B,74,5,106,2,2,2
